diversity,seed,phase,kind,phase_env_steps,total_env_steps,success_rate
1,0,1,phase_start,0,0,0.0537109375
1,0,1,periodic,2097152,2097152,0.3759765625
1,0,1,periodic,4194304,4194304,0.4267578125
1,0,1,periodic,6291456,6291456,0.4111328125
1,0,1,periodic,8388608,8388608,0.3623046875
1,0,1,periodic,10485760,10485760,0.3720703125
1,0,1,periodic,12582912,12582912,0.3603515625
1,0,1,periodic,14680064,14680064,0.3662109375
1,0,1,periodic,16777216,16777216,0.380859375
1,0,1,periodic,18874368,18874368,0.375
1,0,1,periodic,20971520,20971520,0.3212890625
1,0,1,periodic,23068672,23068672,0.3759765625
1,0,1,periodic,25165824,25165824,0.37890625
1,0,1,periodic,27262976,27262976,0.4208984375
1,0,1,periodic,29360128,29360128,0.3681640625
1,0,1,periodic,31457280,31457280,0.3505859375
1,0,1,periodic,33554432,33554432,0.3955078125
1,0,1,periodic,35651584,35651584,0.388671875
1,0,1,periodic,37748736,37748736,0.4072265625
1,0,1,periodic,39845888,39845888,0.390625
1,0,1,periodic,41943040,41943040,0.4052734375
1,0,1,periodic,44040192,44040192,0.41796875
1,0,1,periodic,46137344,46137344,0.365234375
1,0,1,periodic,48234496,48234496,0.39453125
1,0,1,periodic,50331648,50331648,0.400390625
1,0,1,phase_end,50331648,50331648,0.400390625
1,0,2,phase_start,0,50331648,0.5634765625
1,0,2,periodic,2097152,52428800,0.58203125
1,0,2,periodic,4194304,54525952,0.609375
1,0,2,periodic,6291456,56623104,0.58203125
1,0,2,periodic,8388608,58720256,0.5888671875
1,0,2,periodic,10485760,60817408,0.5859375
1,0,2,periodic,12582912,62914560,0.60546875
1,0,2,periodic,14680064,65011712,0.5830078125
1,0,2,periodic,16777216,67108864,0.5927734375
1,0,2,periodic,18874368,69206016,0.60546875
1,0,2,periodic,20971520,71303168,0.5478515625
1,0,2,periodic,23068672,73400320,0.5888671875
1,0,2,periodic,25165824,75497472,0.5986328125
1,0,2,periodic,27262976,77594624,0.578125
1,0,2,periodic,29360128,79691776,0.5947265625
1,0,2,periodic,31457280,81788928,0.572265625
1,0,2,periodic,33554432,83886080,0.5546875
1,0,2,periodic,35651584,85983232,0.560546875
1,0,2,periodic,37748736,88080384,0.599609375
1,0,2,periodic,39845888,90177536,0.5830078125
1,0,2,periodic,41943040,92274688,0.568359375
1,0,2,periodic,44040192,94371840,0.595703125
1,0,2,periodic,46137344,96468992,0.5673828125
1,0,2,periodic,48234496,98566144,0.5810546875
1,0,2,periodic,50331648,100663296,0.5712890625
1,0,2,phase_end,50331648,100663296,0.5712890625
1,0,3,phase_start,0,100663296,0.7861328125
1,0,3,periodic,2097152,102760448,0.7861328125
1,0,3,periodic,4194304,104857600,0.7890625
1,0,3,periodic,6291456,106954752,0.78125
1,0,3,periodic,8388608,109051904,0.7724609375
1,0,3,periodic,10485760,111149056,0.7724609375
1,0,3,periodic,12582912,113246208,0.76171875
1,0,3,periodic,14680064,115343360,0.779296875
1,0,3,periodic,16777216,117440512,0.76171875
1,0,3,periodic,18874368,119537664,0.7998046875
1,0,3,periodic,20971520,121634816,0.78515625
1,0,3,periodic,23068672,123731968,0.7822265625
1,0,3,periodic,25165824,125829120,0.4111328125
1,0,3,periodic,27262976,127926272,0.7763671875
1,0,3,periodic,29360128,130023424,0.7783203125
1,0,3,periodic,31457280,132120576,0.7978515625
1,0,3,periodic,33554432,134217728,0.7841796875
1,0,3,periodic,35651584,136314880,0.7880859375
1,0,3,periodic,37748736,138412032,0.771484375
1,0,3,periodic,39845888,140509184,0.78515625
1,0,3,periodic,41943040,142606336,0.7734375
1,0,3,periodic,44040192,144703488,0.7705078125
1,0,3,periodic,46137344,146800640,0.7734375
1,0,3,periodic,48234496,148897792,0.7890625
1,0,3,periodic,50331648,150994944,0.7861328125
1,0,3,phase_end,50331648,150994944,0.7861328125
1,0,4,phase_start,0,150994944,0.771484375
1,0,4,periodic,2097152,153092096,0.779296875
1,0,4,periodic,4194304,155189248,0.7744140625
1,0,4,periodic,6291456,157286400,0.7734375
1,0,4,periodic,8388608,159383552,0.7880859375
1,0,4,periodic,10485760,161480704,0.7763671875
