diversity,seed,phase,start_success,end_success,transfer_gap,specialization_gain,d1_success_after_phase,backward_d1
1,0,1,0.0537109375,0.400390625,nan,0.3466796875,0.4111328125,0.0
1,0,2,0.5634765625,0.5712890625,-0.1630859375,0.0078125,0.3701171875,-0.041015625
1,0,3,0.7861328125,0.7861328125,-0.21484375,0.0,0.40234375,-0.0087890625
1,0,4,0.771484375,0.767578125,0.0146484375,-0.00390625,0.3837890625,-0.02734375
1,1,1,0.04296875,0.3759765625,nan,0.3330078125,0.3759765625,0.0
1,1,2,0.5849609375,0.5732421875,-0.208984375,-0.01171875,0.3974609375,0.021484375
1,1,3,0.779296875,0.77734375,-0.2060546875,-0.001953125,0.421875,0.0458984375
1,1,4,0.2451171875,0.7802734375,0.5322265625,0.53515625,0.3935546875,0.017578125
1,2,1,0.052734375,0.408203125,nan,0.35546875,0.376953125,0.0
1,2,2,0.552734375,0.564453125,-0.14453125,0.01171875,0.3896484375,0.0126953125
1,2,3,0.78125,0.7626953125,-0.216796875,-0.0185546875,0.4052734375,0.0283203125
1,2,4,0.8037109375,0.7763671875,-0.041015625,-0.02734375,0.37109375,-0.005859375
1,3,1,0.0517578125,0.369140625,nan,0.3173828125,0.396484375,0.0
1,3,2,0.05078125,0.591796875,0.318359375,0.541015625,0.3916015625,-0.0048828125
1,3,3,0.7802734375,0.78125,-0.1884765625,0.0009765625,0.3310546875,-0.0654296875
1,3,4,0.0,0.0,0.78125,0.0,0.4462890625,0.0498046875
1,4,1,0.05078125,0.0,nan,-0.05078125,0.0,0.0
1,4,2,0.0,0.5537109375,0.0,0.5537109375,0.34765625,0.34765625
1,4,3,0.79296875,0.7861328125,-0.2392578125,-0.0068359375,0.3984375,0.3984375
1,4,4,0.78515625,0.7822265625,0.0009765625,-0.0029296875,0.38671875,0.38671875
4,0,1,0.052734375,0.73828125,nan,0.685546875,0.689453125,0.0
4,0,2,0.3095703125,0.291015625,0.4287109375,-0.0185546875,0.673828125,-0.015625
4,0,3,0.5400390625,0.525390625,-0.2490234375,-0.0146484375,0.61328125,-0.076171875
4,0,4,0.3515625,0.4013671875,0.173828125,0.0498046875,0.68359375,-0.005859375
4,1,1,0.0498046875,0.681640625,nan,0.6318359375,0.689453125,0.0
4,1,2,0.2880859375,0.2783203125,0.3935546875,-0.009765625,0.6689453125,-0.0205078125
4,1,3,0.541015625,0.5390625,-0.2626953125,-0.001953125,0.6103515625,-0.0791015625
4,1,4,0.333984375,0.3740234375,0.205078125,0.0400390625,0.697265625,0.0078125
4,2,1,0.05078125,0.6962890625,nan,0.6455078125,0.6796875,0.0
4,2,2,0.2900390625,0.2841796875,0.40625,-0.005859375,0.6611328125,-0.0185546875
4,2,3,0.556640625,0.5302734375,-0.2724609375,-0.0263671875,0.7333984375,0.0537109375
