diversity,seed,phase,kind,phase_env_steps,total_env_steps,success_rate,success_depth_1,success_depth_2,success_depth_3,success_depth_4,success_depth_5,success_depth_6
1,0,1,phase_start,0,0,0.0537109375,0.2074468085106383,0.0963855421686747,0.0,0.0,0.0,0.0
1,0,1,periodic,2097152,2097152,0.3759765625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,4194304,4194304,0.4267578125,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,6291456,6291456,0.4111328125,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,8388608,8388608,0.3623046875,1.0,0.994535519125683,0.0,0.0,0.0,0.0
1,0,1,periodic,10485760,10485760,0.3720703125,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,12582912,12582912,0.3603515625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,14680064,14680064,0.3662109375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,16777216,16777216,0.380859375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,18874368,18874368,0.375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,20971520,20971520,0.3212890625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,23068672,23068672,0.3759765625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,25165824,25165824,0.37890625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,27262976,27262976,0.4208984375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,29360128,29360128,0.3681640625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,31457280,31457280,0.3505859375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,33554432,33554432,0.3955078125,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,35651584,35651584,0.388671875,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,37748736,37748736,0.4072265625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,39845888,39845888,0.390625,0.9950980392156863,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,41943040,41943040,0.4052734375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,44040192,44040192,0.41796875,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,46137344,46137344,0.365234375,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,48234496,48234496,0.39453125,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,periodic,50331648,50331648,0.400390625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,1,phase_end,50331648,50331648,0.400390625,1.0,1.0,0.0,0.0,0.0,0.0
1,0,2,phase_start,0,50331648,0.5634765625,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,2097152,52428800,0.58203125,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,4194304,54525952,0.609375,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,6291456,56623104,0.58203125,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,8388608,58720256,0.5888671875,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,10485760,60817408,0.5859375,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,12582912,62914560,0.60546875,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,14680064,65011712,0.5830078125,1.0,1.0,1.0,0.0,0.0,0.0
1,0,2,periodic,16777216,67108864,0.5927734375,1.0,1.0,1.0,0.0,0.0,0.0
