diversity,seed,target_phase,transition,previous_end_success,start_success,end_success,transfer_gap,specialization_gain,previous_end_depth6,start_depth6,end_depth6,transfer_gap_depth6,specialization_gain_depth6
1,0,2,d1->d2,0.400390625,0.5634765625,0.5712890625,-0.1630859375,0.0078125,0.0,0.0,0.0,0.0,0.0
1,0,3,d2->d3,0.5712890625,0.7861328125,0.7861328125,-0.21484375,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,d3->d4,0.7861328125,0.771484375,0.767578125,0.0146484375,-0.00390625,0.0,0.0,0.0,0.0,0.0
1,1,2,d1->d2,0.3759765625,0.5849609375,0.5732421875,-0.208984375,-0.01171875,0.0,0.0,0.0,0.0,0.0
1,1,3,d2->d3,0.5732421875,0.779296875,0.77734375,-0.2060546875,-0.001953125,0.0,0.0,0.0,0.0,0.0
1,1,4,d3->d4,0.77734375,0.2451171875,0.7802734375,0.5322265625,0.53515625,0.0,0.0,0.0,0.0,0.0
1,2,2,d1->d2,0.408203125,0.552734375,0.564453125,-0.14453125,0.01171875,0.0,0.0,0.0,0.0,0.0
1,2,3,d2->d3,0.564453125,0.78125,0.7626953125,-0.216796875,-0.0185546875,0.0,0.0,0.0,0.0,0.0
1,2,4,d3->d4,0.7626953125,0.8037109375,0.7763671875,-0.041015625,-0.02734375,0.0,0.0,0.0,0.0,0.0
1,3,2,d1->d2,0.369140625,0.05078125,0.591796875,0.318359375,0.541015625,0.0,0.0,0.0,0.0,0.0
1,3,3,d2->d3,0.591796875,0.7802734375,0.78125,-0.1884765625,0.0009765625,0.0,0.0,0.0,0.0,0.0
1,3,4,d3->d4,0.78125,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0
1,4,2,d1->d2,0.0,0.0,0.5537109375,0.0,0.5537109375,0.0,0.0,0.0,0.0,0.0
1,4,3,d2->d3,0.5537109375,0.79296875,0.7861328125,-0.2392578125,-0.0068359375,0.0,0.0,0.0,0.0,0.0
1,4,4,d3->d4,0.7861328125,0.78515625,0.7822265625,0.0009765625,-0.0029296875,0.0,0.0,0.0,0.0,0.0
